arpabet	globalphone	ipa
	a	a
AW	aU	aʊ
AY	aI	aɪ
AA	ab	ɑ
	atu	ɐ
AE	aIe	æ
B		b
	V	β
	cp	ɕ
D	d	d
DH	D	ð
	e	e
EY	eI	eɪ
EH	ae	ɛ
AX	etu	ə
AXR	ɚ	ɚ
F	f	f
G	g	g
	G	ɣ
HH	h	h
IY	i	i
IH	ip	ɪ
IX	i2	ɨ
Y	j	j
K	k	k
	kh	kʰ
	kes	kʼ
L	l	l
M	m	m
	j4	ɰ
	W	ɯ
N	n	n
	nq	ɴ
NG	ng	ŋ
	o	o
OW	oU	oʊ
OY	oI	oɪ
AO	oc	ɔ
	oe	ø
	oIe	œ
P	p	p
	pj	pʲ
	pes	pʼ
	F	ɸ
R	r	ɹ
	rk	ʁ
	qr	ɻ
DX	rf	ɾ
NX		ɾ̃
S	s	s
SH	S	ʃ
	sr	ʂ
	srh	ʂʰ
T	t	t
	th	tʰ
	tes	tʼ
TH	T	θ
UW	u	u
UX		ʉ
UH	ust	ʊ
V	v	v
AH	ov	ʌ
W	w	w
	x	x
	ue	y
	L	ʎ
Z	z	z
ZH	Z	ʒ
	zp	ʑ
TQ	Q	ʔ
JH	dZ	dʒ
ER	ɚ	ɚ
CH	tS	tʃ
